return_id,issued_id,return_book_name,return_date,return_book_isbn
RS101,IS101,NULL,06/06/2023,NULL
RS102,IS105,NULL,07/06/2023,NULL
RS103,IS103,NULL,07/08/2023,NULL
RS104,IS106,NULL,01/05/2024,NULL
RS105,IS107,NULL,03/05/2024,NULL
RS106,IS108,NULL,05/05/2024,NULL
RS107,IS109,NULL,07/05/2024,NULL
RS108,IS110,NULL,09/05/2024,NULL
RS109,IS111,NULL,11/05/2024,NULL
RS110,IS112,NULL,13/05/2024,NULL
RS111,IS113,NULL,15/05/2024,NULL
RS112,IS114,NULL,17/05/2024,NULL
RS113,IS115,NULL,19/05/2024,NULL
RS114,IS116,NULL,21/05/2024,NULL
RS115,IS117,NULL,23/05/2024,NULL
RS116,IS118,NULL,25/05/2024,NULL
RS117,IS119,NULL,27/05/2024,NULL
RS118,IS120,NULL,29/05/2024,NULL
